date,variable,value
2019-11-17,bikini,18
2019-11-24,bikini,16
2019-12-01,bikini,15
2019-12-08,bikini,15
2019-12-15,bikini,18
2019-12-22,bikini,17
2019-12-29,bikini,17
2020-01-05,bikini,18
2020-01-12,bikini,18
2020-01-19,bikini,17
2020-01-26,bikini,20
2020-02-02,bikini,18
2020-02-09,bikini,21
2020-02-16,bikini,20
2020-02-23,bikini,19
2020-03-01,bikini,21
2020-03-08,bikini,20
2020-03-15,bikini,18
2020-03-22,bikini,21
2020-03-29,bikini,24
2020-04-05,bikini,24
2020-04-12,bikini,26
2020-04-19,bikini,25
2020-04-26,bikini,24
2020-05-03,bikini,24
2020-05-10,bikini,31
2020-05-17,bikini,37
2020-05-24,bikini,35
2020-05-31,bikini,36
2020-06-07,bikini,52
2020-06-14,bikini,49
2020-06-21,bikini,55
2020-06-28,bikini,79
2020-07-05,bikini,87
2020-07-12,bikini,72
2020-07-19,bikini,70
2020-07-26,bikini,68
2020-08-02,bikini,59
2020-08-09,bikini,49
2020-08-16,bikini,42
2020-08-23,bikini,39
2020-08-30,bikini,30
2020-09-06,bikini,26
2020-09-13,bikini,25
2020-09-20,bikini,20
2020-09-27,bikini,20
2015-10-11,kazak,27
2015-10-18,kazak,30
2015-10-25,kazak,37
2015-11-01,kazak,38
2015-11-08,kazak,41
2015-11-15,kazak,41
2015-11-22,kazak,40
2015-11-29,kazak,47
2015-12-06,kazak,54
2015-12-13,kazak,53
2015-12-20,kazak,51
2015-12-27,kazak,46
2016-01-03,kazak,47
2016-01-10,kazak,41
2016-01-17,kazak,44
2016-01-24,kazak,47
2016-01-31,kazak,40
2016-02-07,kazak,38
2016-02-14,kazak,26
2016-02-21,kazak,21
2016-02-28,kazak,19
2016-03-06,kazak,15
2016-03-13,kazak,16
2016-03-20,kazak,16
2016-03-27,kazak,15
2016-04-03,kazak,11
2016-04-10,kazak,10
2016-04-17,kazak,9
2016-04-24,kazak,8
2016-05-01,kazak,8
2016-05-08,kazak,8
2016-05-15,kazak,12
2016-05-22,kazak,8
2016-05-29,kazak,8
2016-06-05,kazak,7
2016-06-12,kazak,6
2016-06-19,kazak,9
2016-06-26,kazak,7
2016-07-03,kazak,7
2016-07-10,kazak,5
2016-07-17,kazak,8
2016-07-24,kazak,8
2016-07-31,kazak,8
2016-08-07,kazak,8
2016-08-14,kazak,8
2016-08-21,kazak,9
2016-08-28,kazak,12
2016-09-04,kazak,11
2016-09-11,kazak,14
2016-09-18,kazak,18
2016-09-25,kazak,25
2016-10-02,kazak,22
2016-10-09,kazak,29
2016-10-16,kazak,38
2016-10-23,kazak,41
2016-10-30,kazak,49
2016-11-06,kazak,45
2016-11-13,kazak,51
2016-11-20,kazak,51
2016-11-27,kazak,61
2016-12-04,kazak,63
2016-12-11,kazak,66
2016-12-18,kazak,68
2016-12-25,kazak,64
2017-01-01,kazak,54
2017-01-08,kazak,57
2017-01-15,kazak,55
2017-01-22,kazak,53
2017-01-29,kazak,55
2017-02-05,kazak,45
2017-02-12,kazak,38
2017-02-19,kazak,30
2017-02-26,kazak,26
2017-03-05,kazak,20
2017-03-12,kazak,20
2017-03-19,kazak,17
2017-03-26,kazak,15
2017-04-02,kazak,13
2017-04-09,kazak,15
2017-04-16,kazak,11
2017-04-23,kazak,11
2017-04-30,kazak,9
2017-05-07,kazak,8
2017-05-14,kazak,8
2017-05-21,kazak,8
2017-05-28,kazak,7
2017-06-04,kazak,7
2017-06-11,kazak,5
2017-06-18,kazak,6
2017-06-25,kazak,5
2017-07-02,kazak,6
2017-07-09,kazak,6
2017-07-16,kazak,7
2017-07-23,kazak,7
2017-07-30,kazak,8
2017-08-06,kazak,9
2017-08-13,kazak,8
2017-08-20,kazak,10
2017-08-27,kazak,12
2017-09-03,kazak,15
2017-09-10,kazak,15
2017-09-17,kazak,15
2017-09-24,kazak,23
2017-10-01,kazak,38
2017-10-08,kazak,48
2017-10-15,kazak,47
2017-10-22,kazak,50
2017-10-29,kazak,65
2017-11-05,kazak,70
2017-11-12,kazak,65
2017-11-19,kazak,83
2017-11-26,kazak,77
2017-12-03,kazak,79
2017-12-10,kazak,82
2017-12-17,kazak,81
2017-12-24,kazak,86
2017-12-31,kazak,66
2018-01-07,kazak,67
2018-01-14,kazak,73
2018-01-21,kazak,72
2018-01-28,kazak,63
2018-02-04,kazak,57
2018-02-11,kazak,45
2018-02-18,kazak,40
2018-02-25,kazak,39
2018-03-04,kazak,33
2018-03-11,kazak,23
2018-03-18,kazak,20
2018-03-25,kazak,19
2018-04-01,kazak,16
2018-04-08,kazak,13
2018-04-15,kazak,10
2018-04-22,kazak,9
2018-04-29,kazak,8
2018-05-06,kazak,9
2018-05-13,kazak,8
2018-05-20,kazak,7
2018-05-27,kazak,7
2018-06-03,kazak,7
2018-06-10,kazak,7
2018-06-17,kazak,5
2018-06-24,kazak,7
2018-07-01,kazak,6
2018-07-08,kazak,8
2018-07-15,kazak,7
2018-07-22,kazak,7
2018-07-29,kazak,9
2018-08-05,kazak,9
2018-08-12,kazak,8
2018-08-19,kazak,11
2018-08-26,kazak,12
2018-09-02,kazak,15
2018-09-09,kazak,24
2018-09-16,kazak,24
2018-09-23,kazak,33
2018-09-30,kazak,40
2018-10-07,kazak,52
2018-10-14,kazak,53
2018-10-21,kazak,65
2018-10-28,kazak,66
2018-11-04,kazak,72
2018-11-11,kazak,82
2018-11-18,kazak,100
2018-11-25,kazak,91
2018-12-02,kazak,93
2018-12-09,kazak,98
2018-12-16,kazak,95
2018-12-23,kazak,100
2018-12-30,kazak,84
2019-01-06,kazak,76
2019-01-13,kazak,74
2019-01-20,kazak,66
2019-01-27,kazak,60
2019-02-03,kazak,55
2019-02-10,kazak,54
2019-02-17,kazak,41
2019-02-24,kazak,41
2019-03-03,kazak,33
2019-03-10,kazak,26
2019-03-17,kazak,22
2019-03-24,kazak,21
2019-03-31,kazak,19
2019-04-07,kazak,17
2019-04-14,kazak,17
2019-04-21,kazak,14
2019-04-28,kazak,9
2019-05-05,kazak,9
2019-05-12,kazak,7
2019-05-19,kazak,8
2019-05-26,kazak,7
2019-06-02,kazak,6
2019-06-09,kazak,8
2019-06-16,kazak,7
2019-06-23,kazak,7
2019-06-30,kazak,8
2019-07-07,kazak,9
2019-07-14,kazak,10
2019-07-21,kazak,9
2019-07-28,kazak,10
2019-08-04,kazak,8
2019-08-11,kazak,10
2019-08-18,kazak,16
2019-08-25,kazak,15
2019-09-01,kazak,16
2019-09-08,kazak,21
2019-09-15,kazak,28
2019-09-22,kazak,36
2019-09-29,kazak,33
2019-10-06,kazak,43
2019-10-13,kazak,42
2019-10-20,kazak,50
2019-10-27,kazak,63
2019-11-03,kazak,67
2019-11-10,kazak,68
2019-11-17,kazak,82
2019-11-24,kazak,98
2019-12-01,kazak,98
